id,business_name,country,city,maps_profile,website_status,social,contact,owner,why_need_website,quality
311,Golden Peanut and Tree Nuts,USA,"Alpharetta, GA","https://maps.google.com/?q=Golden+Peanut+and+Tree+Nuts+Alpharetta,+GA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @goldenpeanutand / FB: Golden Peanut and Tree Nuts,General Inquiries | info@goldenpeanut.com,Arthur Peery (President),your premium peanut and pecan ingredients would benefit from our turnkey B2B ordering and consumer gift packaging modules.,High
312,Ellis Bros. Pecans,USA,"Vienna, GA","https://maps.google.com/?q=Ellis+Bros.+Pecans+Vienna,+GA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @ellisbrospecans / FB: Ellis Bros. Pecans,General Inquiries | info@werenuts.com,Keith Ellis (Partner),your I-75 Georgia pecan store draws road-trippers nationwide; our turnkey store would turn visitors into repeat annual subscribers.,High
313,South Georgia Pecan Company,USA,"Valdosta, GA","https://maps.google.com/?q=South+Georgia+Pecan+Company+Valdosta,+GA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @southgeorgiapec / FB: South Georgia Pecan Company,General Inquiries | info@georgiapecan.com,Jim Worn (President),"shelling pecans since 1913, your Georgia pecans deserve a modern, high-converting digital storefront.",High
314,Whaley Pecan Company,USA,"Troy, AL","https://maps.google.com/?q=Whaley+Pecan+Company+Troy,+AL",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @whaleypecancomp / FB: Whaley Pecan Company,General Inquiries | info@whaleypecan.com,Frank Whaley (President),your Alabama roasted pecans and seasonal nut gift samplers would convert higher with modern express payments.,High
315,Young Plantations,USA,"Florence, SC","https://maps.google.com/?q=Young+Plantations+Florence,+SC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @youngplantation / FB: Young Plantations,General Inquiries | info@youngplantations.com,David Young (President),your famous Carolina pecan pralines and spiced nuts deserve an ultra-luxurious online gift tin experience.,High
316,Mascot Pecan Shelling Co.,USA,"Glennville, GA","https://maps.google.com/?q=Mascot+Pecan+Shelling+Co.+Glennville,+GA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @mascotpecanshel / FB: Mascot Pecan Shelling Co.,General Inquiries | info@mascotpecan.com,Kenny Tarver (President),your handmade pecan clusters and Georgia roasted nuts would see higher cart sizes with custom gift tin packaging.,High
317,Royal Ridge Fruits,USA,"Royal City, WA","https://maps.google.com/?q=Royal+Ridge+Fruits+Royal+City,+WA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @royalridgefruit / FB: Royal Ridge Fruits,General Inquiries | info@royalridgefruits.com,Kevin Dorsing (Managing Director),your Washington dried Montmorency tart cherries and blueberries deserve a premium digital boutique.,High
318,Meduri Farms,USA,"Dallas, OR","https://maps.google.com/?q=Meduri+Farms+Dallas,+OR",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @medurifarms / FB: Meduri Farms,General Inquiries | info@medurifarms.com,Joe Meduri (Founder),your infused dried cranberries and vineyard berries would convert higher with our turnkey luxury storefront.,High
319,Graceland Fruit,USA,"Frankfort, MI","https://maps.google.com/?q=Graceland+Fruit+Frankfort,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @gracelandfruit / FB: Graceland Fruit,General Inquiries | info@gracelandfruit.com,Al DeVore (CEO),"as a world pioneer in infused dried cranberries and cherries, your DTC store would benefit from modern subscription tools.",High
320,Shoreline Fruit,USA,"Traverse City, MI","https://maps.google.com/?q=Shoreline+Fruit+Traverse+City,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @shorelinefruit / FB: Shoreline Fruit,General Inquiries | info@shorelinefruit.com,Ken Wixson (Director),your Michigan Montmorency tart cherries and dried berries would drive higher margins with custom snack gift boxes.,High
321,Smeltzer Orchard Company,USA,"Frankfort, MI","https://maps.google.com/?q=Smeltzer+Orchard+Company+Frankfort,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @smeltzerorchard / FB: Smeltzer Orchard Company,General Inquiries | info@smeltzerorchards.com,Tim Smeltzer (President),"processing Michigan fruit since 1905, your dried cherries and blueberries deserve a modern consumer shop.",High
322,Cherry Central Cooperative,USA,"Traverse City, MI","https://maps.google.com/?q=Cherry+Central+Cooperative+Traverse+City,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @cherrycentralco / FB: Cherry Central Cooperative,General Inquiries | info@cherrycentral.com,Steve Cooper (President),your grower-owned dried fruit co-op would capture high retail margins with our turnkey direct cart.,High
323,Brownwood Acres / FruitFast,USA,"Central Lake, MI","https://maps.google.com/?q=Brownwood+Acres+/+FruitFast+Central+Lake,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @brownwoodacresf / FB: Brownwood Acres / FruitFast,General Inquiries | info@brownwoodacres.com,Stephen deTar (President),your tart cherry concentrates and dried fruit snack packs would drive stronger recurring subscriptions on a modern platform.,High
324,Traverse Bay Farms,USA,"Bellaire, MI","https://maps.google.com/?q=Traverse+Bay+Farms+Bellaire,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @traversebayfarm / FB: Traverse Bay Farms,General Inquiries | info@traversebayfarms.com,Andy LaPointe (Founder),your award-winning dried cherries and nut mixes would convert higher with an interactive corporate gift box builder.,High
325,King Orchards,USA,"Central Lake, MI","https://maps.google.com/?q=King+Orchards+Central+Lake,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @kingorchards / FB: King Orchards,General Inquiries | info@kingorchards.com,John King (Co-Owner),your farm-direct Michigan dried cherries and fruit gift boxes would thrive on our turnkey e-commerce store.,High
326,Friske Farm Market,USA,"Ellsworth, MI","https://maps.google.com/?q=Friske+Farm+Market+Ellsworth,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @friskefarmmarke / FB: Friske Farm Market,General Inquiries | info@friske.com,Richard Friske (Owner),your orchard dried fruits and handcrafted nut treats deserve an elevated digital storefront with nationwide shipping.,High
327,Golden State Fruit,USA,"Webster, NY","https://maps.google.com/?q=Golden+State+Fruit+Webster,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @goldenstatefrui / FB: Golden State Fruit,General Inquiries | info@goldenstatefruit.com,Dan O'Donnell (President),your fresh and dried fruit holiday towers would convert higher with our custom gift packaging configurator.,High
328,Manhattan Fruitier,USA,"Long Island City, NY","https://maps.google.com/?q=Manhattan+Fruitier+Long+Island+City,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @manhattanfruiti / FB: Manhattan Fruitier,General Inquiries | orders@manhattanfruitier.com,Lauren Elvers Collins (President),"your artistic dried fruit and nut gift arrangements deserve a high-converting, luxury digital showcase.",High
329,Frog Hollow Farm,USA,"Brentwood, CA","https://maps.google.com/?q=Frog+Hollow+Farm+Brentwood,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @froghollowfarm / FB: Frog Hollow Farm,General Inquiries | info@froghollow.com,Farmer Al Courchesne (Founder),your legendary California organic sun-dried peaches and nectarines deserve a luxury direct-to-consumer store.,High
330,Harry & David,USA,"Medford, OR","https://maps.google.com/?q=Harry+&+David+Medford,+OR",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @harrydavid / FB: Harry & David,General Inquiries | service@harryanddavid.com,Steven Lightman (President),your iconic Royal Riviera dried fruit baskets and gourmet nut towers could convert even higher with interactive custom box builders.,High
331,Wolferman's Gourmet Gifts,USA,"Medford, OR","https://maps.google.com/?q=Wolferman's+Gourmet+Gifts+Medford,+OR",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @wolfermansgourm / FB: Wolferman's Gourmet Gifts,General Inquiries | service@wolfermans.com,Gourmet Food Division,your breakfast gift baskets and dried fruit preserves would see higher average order values with custom bundle builders.,High
332,Cheryl's Gourmet Gifts,USA,"Westerville, OH","https://maps.google.com/?q=Cheryl's+Gourmet+Gifts+Westerville,+OH",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @cherylsgourmetg / FB: Cheryl's Gourmet Gifts,General Inquiries | service@cheryls.com,Cheryl Krueger (Founder),your gourmet holiday gift tins and roasted nut treats would convert higher with a streamlined mobile checkout.,High
333,Dancing Deer Gourmet Snacks,USA,"Boston, MA","https://maps.google.com/?q=Dancing+Deer+Gourmet+Snacks+Boston,+MA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @dancingdeergour / FB: Dancing Deer Gourmet Snacks,General Inquiries | customerservice@dancingdeer.com,Frank Carpenito (CEO),"your scratch-baked snack cakes and artisan nut gift boxes deserve a modern, high-speed Next.js storefront.",High
334,Zingerman's Mail Order,USA,"Ann Arbor, MI","https://maps.google.com/?q=Zingerman's+Mail+Order+Ann+Arbor,+MI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @zingermansmailo / FB: Zingerman's Mail Order,General Inquiries | service@zingermans.com,Mo Frechette (Managing Partner),your artisanal roasted nuts and estate dried fruits would convert higher with our turnkey luxury e-commerce platform.,High
335,Hickory Farms,USA,"Chicago, IL","https://maps.google.com/?q=Hickory+Farms+Chicago,+IL",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @hickoryfarms / FB: Hickory Farms,General Inquiries | service@hickoryfarms.com,Judy Ransford (CEO),your specialty nut samplers and dried fruit gift boxes would benefit from our interactive corporate gifting configurator.,High
336,Swiss Colony,USA,"Monroe, WI","https://maps.google.com/?q=Swiss+Colony+Monroe,+WI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @swisscolony / FB: Swiss Colony,General Inquiries | service@swisscolony.com,Pat Ryan (President),your heritage holiday nut tins and dried fruit confections would see higher mobile conversions on a modern Next.js store.,High
337,Figis Gourmet Gifts,USA,"Marshfield, WI","https://maps.google.com/?q=Figis+Gourmet+Gifts+Marshfield,+WI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @figisgourmetgif / FB: Figis Gourmet Gifts,General Inquiries | service@figis.com,Customer Care Team,your Wisconsin nut tins and dried fruit assortments would benefit from an automated corporate gift portal.,High
338,Wisconsin Cheese & Nut Mart,USA,"Milwaukee, WI","https://maps.google.com/?q=Wisconsin+Cheese+&+Nut+Mart+Milwaukee,+WI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @wisconsincheese / FB: Wisconsin Cheese & Nut Mart,General Inquiries | info@wisconsincheesemart.com,Ken McNulty (President),your artisanal cheese and roasted nut pairing baskets would see higher average order values with custom gift box composers.,High
339,Wholesale Nuts And Dried Fruit,USA,"Clifton, NJ","https://maps.google.com/?q=Wholesale+Nuts+And+Dried+Fruit+Clifton,+NJ",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @wholesalenutsan / FB: Wholesale Nuts And Dried Fruit,General Inquiries | info@wholesalenutsanddriedfruit.com,David Mizrahi (Founder),your bulk dried fruit and nut selections would benefit from our turnkey high-converting e-commerce cart.,High
340,Inka Crops,USA,"Miami, FL","https://maps.google.com/?q=Inka+Crops+Miami,+FL",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @inkacrops / FB: Inka Crops,General Inquiries | info@inkacrops.com,Ignacio Garaycochea (Director),your giant roasted corn nuts and specialty seed snacks would drive higher direct sales with an interactive snack box builder.,High
341,Justin's Nut Butter & Snacks,USA,"Boulder, CO","https://maps.google.com/?q=Justin's+Nut+Butter+&+Snacks+Boulder,+CO",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @justinsnutbutte / FB: Justin's Nut Butter & Snacks,General Inquiries | info@justins.com,Justin Gold (Founder),your artisanal almond butter pouches and organic nut cups deserve an elevated digital storefront with subscription repeat orders.,High
342,Artisana Organics Nut Butters,USA,"Oakland, CA","https://maps.google.com/?q=Artisana+Organics+Nut+Butters+Oakland,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @artisanaorganic / FB: Artisana Organics Nut Butters,General Inquiries | info@artisanaorganics.com,Lorena Morales (Director),"your raw organic walnut, cashew, and tahini butter jars deserve a clean, modern direct-to-consumer store.",High
343,MaraNatha Foods,USA,"Lake Success, NY","https://maps.google.com/?q=MaraNatha+Foods+Lake+Success,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @maranathafoods / FB: MaraNatha Foods,General Inquiries | info@maranathafoods.com,Brand Management,your California roasted almond and creamy peanut butters would drive higher subscriptions on an ultra-fast digital storefront.,High
344,Woodstock Foods,USA,"Providence, RI","https://maps.google.com/?q=Woodstock+Foods+Providence,+RI",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @woodstockfoods / FB: Woodstock Foods,General Inquiries | info@woodstock-foods.com,Michael Funk (Founder),"your Non-GMO organic dried apricots, walnuts, and pumpkin seeds deserve an ultra-luxurious DTC boutique.",High
345,BulkFoods.com,USA,"Toledo, OH","https://maps.google.com/?q=BulkFoods.com+Toledo,+OH",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @bulkfoodscom / FB: BulkFoods.com,General Inquiries | info@bulkfoods.com,Brad Miller (General Manager),"your bulk dried fruits, nuts, and trail mixes would convert at higher order values with our turnkey custom mix composer.",High
346,Nuts in Bulk USA,USA,"New Rochelle, NY","https://maps.google.com/?q=Nuts+in+Bulk+USA+New+Rochelle,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @nutsinbulkusa / FB: Nuts in Bulk USA,General Inquiries | info@nutsinbulk.com,Mark Klein (President),your wholesale and retail raw nuts would benefit from our turnkey high-converting e-commerce cart.,High
347,Farm Fresh Nuts,USA,"Lakewood, NJ","https://maps.google.com/?q=Farm+Fresh+Nuts+Lakewood,+NJ",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @farmfreshnuts / FB: Farm Fresh Nuts,General Inquiries | info@farmfreshnuts.com,Solomon Gross (Owner),your hand-selected roasted nuts and dried fruit gift trays would convert higher during holidays with our modern gift box builder.,High
348,We Got Nuts,USA,"Brooklyn, NY","https://maps.google.com/?q=We+Got+Nuts+Brooklyn,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @wegotnuts / FB: We Got Nuts,General Inquiries | info@wegotnuts.com,Jack Dweck (Founder),your bulk dried fruits and roasted cashews would see higher average order values with an automated discount engine.,High
349,Jerry's Nut House,USA,"Denver, CO","https://maps.google.com/?q=Jerry's+Nut+House+Denver,+CO",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @jerrysnuthouse / FB: Jerry's Nut House,General Inquiries | info@jerrysnuthouse.com,Jerry Gross (Founder),"roasting savory nut mixes and dried fruit in Colorado, your store would benefit from our interactive custom tin builder.",High
350,Natursource,Canada,"Saint-Laurent, QC","https://maps.google.com/?q=Natursource+Saint-Laurent,+QC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @natursource / FB: Natursource,General Inquiries | info@natursource.com,Garry Oberfield (CEO),"your premium salad toppers, tamari roasted almonds, and gourmet nut mixes would convert higher with custom snack subscriptions.",High
351,Organic Fair,Canada,"Cobble Hill, BC","https://maps.google.com/?q=Organic+Fair+Cobble+Hill,+BC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @organicfair / FB: Organic Fair,General Inquiries | info@organicfair.com,Kent Goodwin (Co-Founder),your Vancouver Island organic nut snacks and dried fruit confections would shine on a modern luxury storefront.,High
352,Hornby Organic,Canada,"Hornby Island, BC","https://maps.google.com/?q=Hornby+Organic+Hornby+Island,+BC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @hornbyorganic / FB: Hornby Organic,General Inquiries | info@hornbyorganic.com,Cayleigh Anderson (Co-Founder),"your organic seed bars and artisanal nut butter snacks deserve a high-speed, mobile-optimized online store.",High
353,Prana Bio Organic,Canada,"Montreal, QC","https://maps.google.com/?q=Prana+Bio+Organic+Montreal,+QC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @pranabioorganic / FB: Prana Bio Organic,General Inquiries | info@pranabio.com,Alon Farber (President),"your organic Chia seeds, dried Turkish figs, and raw almonds would drive stronger repeat orders on a Next.js platform.",High
354,Fruit d'Or Ingredients,Canada,"Plessisville, QC","https://maps.google.com/?q=Fruit+d'Or+Ingredients+Plessisville,+QC",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @fruitdoringredi / FB: Fruit d'Or Ingredients,General Inquiries | sales@fruitdor.ca,Sales Directorate,your organic Canadian cranberries and wild blueberries would convert higher with our turnkey B2B portal.,High
355,Ritter Courivaud Specialty Foods,UK,"Leicester, UK","https://maps.google.com/?q=Ritter+Courivaud+Specialty+Foods+Leicester,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @rittercourivaud / FB: Ritter Courivaud Specialty Foods,General Inquiries | enquiries@rittercourivaud.co.uk,Alain Courivaud (Managing Director),"your fine French dried fruits, pine nuts, and pastry ingredients deserve an automated corporate ordering portal.",High
356,Forest Whole Foods,UK,"Swanage, Dorset","https://maps.google.com/?q=Forest+Whole+Foods+Swanage,+Dorset",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @forestwholefood / FB: Forest Whole Foods,General Inquiries | hello@forestwholefoods.co.uk,Chloe Phillips (Director),"your 100% certified organic dried mulberries, goji berries, and raw walnuts would convert higher with automated pantry subscriptions.",High
357,Grape Tree Natural Wholefoods,UK,"Kingswinford, UK","https://maps.google.com/?q=Grape+Tree+Natural+Wholefoods+Kingswinford,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @grapetreenatura / FB: Grape Tree Natural Wholefoods,General Inquiries | info@grapetree.co.uk,Nick Shutts (Founder),"with over 140 UK stores, your dried fruits and roasting nuts would see higher digital basket values with our custom gift tin builder.",High
358,Buy Whole Foods Online UK,UK,"Minster, Kent","https://maps.google.com/?q=Buy+Whole+Foods+Online+UK+Minster,+Kent",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @buywholefoodson / FB: Buy Whole Foods Online UK,General Inquiries | enquiries@buywholefoodsonline.co.uk,Arthur Martin (Director),"your vast collection of organic whole nuts, dried fruits, and baking seeds would convert higher with interactive mix composers.",High
359,Clearspring Organic Foods,UK,"London, UK","https://maps.google.com/?q=Clearspring+Organic+Foods+London,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @clearspringorga / FB: Clearspring Organic Foods,General Inquiries | info@clearspring.co.uk,Christopher Dawson (Founder),"your Japanese organic seed snacks and dried fruits deserve an ultra-luxurious, minimalist digital boutique.",High
360,Just Natural Organic Foods,UK,"Barnsley, UK","https://maps.google.com/?q=Just+Natural+Organic+Foods+Barnsley,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @justnaturalorga / FB: Just Natural Organic Foods,General Inquiries | info@justnatural.co.uk,Mark Armstrong (Director),your pre-packed organic dry fruits and raw nut kernels would benefit from our turnkey consumer e-commerce storefront.,High
361,Hodmedod's British Pulses & Seeds,UK,"Halesworth, Suffolk","https://maps.google.com/?q=Hodmedod's+British+Pulses+&+Seeds+Halesworth,+Suffolk",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @hodmedodsbritis / FB: Hodmedod's British Pulses & Seeds,General Inquiries | hello@hodmedods.co.uk,Nick Saltmarsh (Co-Founder),"your British-grown roasted fava beans, pumpkin seeds, and specialty grains deserve an elevated, storytelling-rich digital storefront.",High
362,Biona Organic / Windmill Organics,UK,"London, UK","https://maps.google.com/?q=Biona+Organic+/+Windmill+Organics+London,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @bionaorganicwin / FB: Biona Organic / Windmill Organics,General Inquiries | info@biona.co.uk,Donata Kingston (Director),"your organic dried mango, medjool dates, and roasted nut spreads would convert higher with our streamlined mobile checkout.",High
363,Tropical Wholefoods,UK,"Sunderland, UK","https://maps.google.com/?q=Tropical+Wholefoods+Sunderland,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @tropicalwholefo / FB: Tropical Wholefoods,General Inquiries | info@tropicalwholefoods.com,Adam Brett (Founder),"pioneering fair-trade dried bananas, mangoes, and cashews, your ethical story deserves a modern luxury web presence.",High
364,Sunmark Fine Foods,UK,"Greenford, UK","https://maps.google.com/?q=Sunmark+Fine+Foods+Greenford,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @sunmarkfinefood / FB: Sunmark Fine Foods,General Inquiries | info@sunmark.co.uk,Sunny Sharma (Chairman),your international distribution of premium dry fruits and roasted snacks would benefit from our automated corporate wholesale portal.,High
365,Artisan Hamper Company,UK,"Cotswolds, UK","https://maps.google.com/?q=Artisan+Hamper+Company+Cotswolds,+UK",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @artisanhamperco / FB: Artisan Hamper Company,General Inquiries | info@artisanhampers.co.uk,James Montgomery (Owner),your luxury Cotswolds food hampers and roasted nut selections deserve an interactive custom hamper configurator.,High
366,Highland Fayre Gourmet Gifts,UK,"Perth, Scotland","https://maps.google.com/?q=Highland+Fayre+Gourmet+Gifts+Perth,+Scotland",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @highlandfayrego / FB: Highland Fayre Gourmet Gifts,General Inquiries | sales@highlandfayre.co.uk,Kerri Ferguson (Director),Scotland's leading hamper company would achieve higher corporate gifting conversion with our interactive custom box composer.,High
367,Spicers of Hythe Hampers,UK,"Hythe, Kent","https://maps.google.com/?q=Spicers+of+Hythe+Hampers+Hythe,+Kent",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @spicersofhytheh / FB: Spicers of Hythe Hampers,General Inquiries | info@spicersofhythe.co.uk,Percy Spicer (Director),"curating luxury food hampers since 1926, your artisanal dry fruit and nut gifts deserve an ultra-modern digital storefront.",High
368,Virginia Hayward The Hamper Company,UK,"Shaftesbury, Dorset","https://maps.google.com/?q=Virginia+Hayward+The+Hamper+Company+Shaftesbury,+Dorset",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @virginiahayward / FB: Virginia Hayward The Hamper Company,General Inquiries | sales@virginiahayward.com,Sam Hayward (Managing Director),your premium holiday hampers and roasted nut selections would benefit from our multi-address corporate checkout portal.,High
369,Dukeshill Luxury Hampers,UK,"Telford, Shropshire","https://maps.google.com/?q=Dukeshill+Luxury+Hampers+Telford,+Shropshire",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @dukeshillluxury / FB: Dukeshill Luxury Hampers,General Inquiries | enquiries@dukeshill.co.uk,Mark Duske (Managing Director),"Royal Warrant holder for artisan meats and gourmet nut gifts, your luxury online presentation deserves a high-speed Next.js storefront.",High
370,Daylesford Organic Farm,UK,"Kingham, Gloucestershire","https://maps.google.com/?q=Daylesford+Organic+Farm+Kingham,+Gloucestershire",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @daylesfordorgan / FB: Daylesford Organic Farm,General Inquiries | guest.services@daylesford.com,Carole Bamford (Founder),"your organic seed mixes, roasted nuts, and dried orchard fruits deserve an ultra-luxurious e-commerce showcase.",High
371,Cartwright & Butler,UK,"Gilberdyke, East Yorkshire","https://maps.google.com/?q=Cartwright+&+Butler+Gilberdyke,+East+Yorkshire",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @cartwrightbutle / FB: Cartwright & Butler,General Inquiries | info@cartwrightandbutler.co.uk,Tony Arnett (Director),your iconic embossed tin gift boxes and salted caramel nuts would see higher conversion with custom gift box composers.,High
